namn1,namn2,pris,köp antal,tot pris,länk,stil,land,storlek,alkohol,antal i butik,sektion,hylla
,,,,,,,,,,,,
lager,,,,,,,,,,,,
Falcon Export,,12.5,,,https://www.systembolaget.se/produkt/ol/falcon-export-143315/,Öl Ljus lager Internationell stil,Sverige,330,5.2,938,30,02
Arton56,Glutenfri,15.5,,,https://www.systembolaget.se/produkt/ol/arton56-1158715/,Öl Ljus lager Internationell stil,Sverige,330,5.2,161,31,09
Arboga 102,,24.4,,,https://www.systembolaget.se/produkt/ol/arboga-102-1139212/,Öl Ljus lager Starkare lager,Sverige,500,10.2,201,29,01
Ekologisk Pilsner,Great Swedish Beer Festival 2024,29.9,,,https://www.systembolaget.se/produkt/ol/ekologisk-pilsner-1049115/,"Öl, Ljus lager, Pilsner - tysk stil",Sverige,330,5.0,64,TS,00
Stigbergets,Ted Nz Pilsner,30.9,,,https://www.systembolaget.se/produkt/ol/stigbergets-3159314/,"Öl, Ljus lager, Pilsner - tysk stil",Sverige,440,5.0,70,30,05
,,,,,,,,,,,,
vete,,,,,,,,,,,,
1664 Blanc,,19.3,,,https://www.systembolaget.se/produkt/ol/1664-blanc-151403/,Öl Veteöl Witbier,Internationellt märke,330,5.0,185,32,08
Bearded Rabbit Brewery,HällVete,28.0,,,https://www.systembolaget.se/produkt/ol/bearded-rabbit-brewery-3132015/,"Öl, Veteöl, Hefeweizen",Sverige,330,5.0,31,–,–
Erdinger,Weissbier Hefe,25.9,,,https://www.systembolaget.se/produkt/ol/erdinger-1120801/,"Öl, Veteöl, Hefeweizen",Tyskland,500,5.3,51,32,03
,,,,,,,,,,,,
ale,,,,,,,,,,,,
Stigbergets,Scandinavian West Coast IPA,37.9,,,https://www.systembolaget.se/produkt/ol/stigbergets-120515/,Öl Ale New England IPA/Hazy IPA,Sverige,330,6.5,435,32,09
Duvel,,30.9,,,https://www.systembolaget.se/produkt/ol/duvel-165403/,Öl Ale Ljus stark belgisk ale/Trippel,Belgien,330,8.5,20,25,01
Lagunitas,IPA,25.9,,,https://www.systembolaget.se/produkt/ol/lagunitas-8960703/,Öl Ale India pale ale (IPA),Internationellt märke,355,6.2,31,27,02
Brutal Brewing,A Ship Full of IPA,18.9,,,https://www.systembolaget.se/produkt/ol/brutal-brewing-8313015/,Öl Ale India pale ale (IPA),Sverige,330,5.8,407,32,09
Stigbergets Amazing Haze,IPA,37.9,,,https://www.systembolaget.se/produkt/ol/stigbergets-amazing-haze-3148715/,Öl Ale New England IPA/Hazy IPA,Sverige,330,6.5,23,28,02
Bron IPA,,20.9,,,https://www.systembolaget.se/produkt/ol/bron-ipa-108412/,Öl Ale India pale ale (IPA),Sverige,500,5.9,20,27,02
Lucky Bait,,10.5,,,https://www.systembolaget.se/produkt/ol/lucky-bait-132715/,"Öl, Ljus lager, Modern stil/India Pale Lager",Sverige,330,5.4,657,31,07
